,Account ID,Account,Account Description,Account Level 1,Account Level 2,Account Level 3,Account Level 4,Product External ID,Product,Department External ID,Department Description,Operating Unit External ID,Operating Unit,Customer Class External ID,Customer Class,Affiliate External ID,Affiliate,Business Unit External ID,Currency,Amount (Debit),Amount (Credit),Balance,Amount (Debit) (Foreign Currency),Amount (Credit) (Foreign Currency),Amount (FC),Control Account,Consol IFRS Code,WKFS BS Product Code,WKFS PL Product Class,WKFS LKP PL Product,WKFS LKPHK Product,WKFS IFRS9 Type,WKFS Trade Indicator
103,1050220,1050220 Loans and advances to customers : Gross loans and advances to customers : CARDHOLDER BAL-P,CARDHOLDER BALANCE-PERFORMING,Balance Sheet,1000000 Total assets,1050000 Loans and advances to customers,1050200 Gross loans and advances to customers,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,20174405.14,20256694.52,-82289.38,20174405.14,20256694.52,-82289.38,False,1DA,410200.0,0.0,0.0,0.0,0.0,True
136,1050345,1050345 ECL S1 PRO-LN TO CU-AMC-CC,ECL S1 PROVISION-LOAN TO CUSTOMER-AMORTISED COSTS-CREDIT CAR,Balance Sheet,1000000 Total assets,1050000 Loans and advances to customers,1050300 Credit impairment losses,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,0.0,22364655.18,-22364655.18,0.0,22364655.18,-22364655.18,False,1DA,170102.0,,,,,False
140,1050345,1050345 ECL S1 PRO-LN TO CU-AMC-CC,ECL S1 PROVISION-LOAN TO CUSTOMER-AMORTISED COSTS-CREDIT CAR,Balance Sheet,1000000 Total assets,1050000 Loans and advances to customers,1050300 Credit impairment losses,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,301,301 RR Adjustment,,,,,460,HKD,0.0,743856.82,-743856.82,0.0,743856.82,-743856.82,False,1DA,170102.0,,,,,False
143,1050350,1050350 ECL S2 PRO-LN TO CU-AMC-CC,ECL S2 PROVISION-LOAN TO CUSTOMER-AMORTISED COSTS-CREDITCARD,Balance Sheet,1000000 Total assets,1050000 Loans and advances to customers,1050300 Credit impairment losses,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,0.0,17283958.38,-17283958.38,0.0,17283958.38,-17283958.38,False,1DA,170102.0,,,,,False
145,1050350,1050350 ECL S2 PRO-LN TO CU-AMC-CC,ECL S2 PROVISION-LOAN TO CUSTOMER-AMORTISED COSTS-CREDITCARD,Balance Sheet,1000000 Total assets,1050000 Loans and advances to customers,1050300 Credit impairment losses,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,301,301 RR Adjustment,,,,,460,HKD,0.0,658176.44,-658176.44,0.0,658176.44,-658176.44,False,1DA,170102.0,,,,,False
147,1050351,1050351 ECL S3 PRO-LN TO CU-AMC-CC,ECL S3 PROVISION-LOAN TO CUSTOMER-AMORTISED COSTS-CREDITCARD,Balance Sheet,1000000 Total assets,1050000 Loans and advances to customers,1050300 Credit impairment losses,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,906829.11,293762.87,613066.24,906829.11,293762.87,613066.24,False,1DA,170102.0,0.0,0.0,0.0,0.0,False
162,1060202,1060202 BALANCES WITH SCALE-SCBHK,BALANCES WITH SCALE-SCBHK,Balance Sheet,1000000 Total assets,1060000 Due from intragroup,1060200 Due from head office and subsidiaries - non-demand,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,AUD,5373.24,5526.47,-153.23,0.0,0.0,0.0,False,1K,150500.0,0.0,0.0,0.0,0.0,False
175,1060202,1060202 BALANCES WITH SCALE-SCBHK,BALANCES WITH SCALE-SCBHK,Balance Sheet,1000000 Total assets,1060000 Due from intragroup,1060200 Due from head office and subsidiaries - non-demand,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,SGD,547.96,556.09,-8.13,0.0,0.0,0.0,False,1K,150500.0,0.0,0.0,0.0,0.0,False
180,1060202,1060202 BALANCES WITH SCALE-SCBHK,BALANCES WITH SCALE-SCBHK,Balance Sheet,1000000 Total assets,1060000 Due from intragroup,1060200 Due from head office and subsidiaries - non-demand,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,JPY,41242.79,39486.06,1756.73,0.0,0.0,0.0,False,1K,150500.0,0.0,0.0,0.0,0.0,False
181,1060202,1060202 BALANCES WITH SCALE-SCBHK,BALANCES WITH SCALE-SCBHK,Balance Sheet,1000000 Total assets,1060000 Due from intragroup,1060200 Due from head office and subsidiaries - non-demand,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,EUR,2428.35,2343.28,85.07,0.0,0.0,0.0,False,1K,150500.0,0.0,0.0,0.0,0.0,False
185,1060202,1060202 BALANCES WITH SCALE-SCBHK,BALANCES WITH SCALE-SCBHK,Balance Sheet,1000000 Total assets,1060000 Due from intragroup,1060200 Due from head office and subsidiaries - non-demand,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,USD,2039.25,2340.3,-301.05,0.0,0.0,0.0,False,1K,150500.0,0.0,0.0,0.0,0.0,False
186,1060202,1060202 BALANCES WITH SCALE-SCBHK,BALANCES WITH SCALE-SCBHK,Balance Sheet,1000000 Total assets,1060000 Due from intragroup,1060200 Due from head office and subsidiaries - non-demand,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,238.0,238 SCB HONG KONG LIMITED,460,GBP,11159.31,11622.62,-463.31,0.0,0.0,0.0,False,1K,150500.0,0.0,0.0,0.0,0.0,False
253,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,AUD,0.0,22935.31,-22935.31,0.0,4297.17,-4297.17,False,1J,140801.0,0.0,0.0,0.0,0.0,False
267,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,CAD,0.0,11209.22,-11209.22,0.0,1942.16,-1942.16,False,1J,140801.0,0.0,0.0,0.0,0.0,False
268,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,EUR,115.37,0.0,115.37,13.84,0.0,13.84,False,1J,140801.0,0.0,0.0,0.0,0.0,False
269,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,SGD,13.82,0.0,13.82,2.36,0.0,2.36,False,1J,140801.0,0.0,0.0,0.0,0.0,False
272,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,,,1937,Project Dragon - Legal,198,198 PL Sweeping,,,160.0,160 SCB AUSTRALIA BRANCH,460,HKD,0.0,1401354.04,-1401354.04,0.0,1401354.04,-1401354.04,False,1J,140801.0,0.0,0.0,0.0,0.0,False
282,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,,,1939,Project Dragon - CEO / Head office,198,198 PL Sweeping,,,238.0,238 SCB HONG KONG LIMITED,460,USD,0.0,25244174.99,-25244174.99,0.0,3235209.1,-3235209.1,False,1J,140801.0,0.0,0.0,0.0,0.0,False
287,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,USD,397.81,0.0,397.81,50.97,0.0,50.97,False,1J,140801.0,0.0,0.0,0.0,0.0,False
288,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,GBP,951.75,0.0,951.75,101.01,0.0,101.01,False,1J,140801.0,0.0,0.0,0.0,0.0,False
309,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,JPY,0.0,173832.5,-173832.5,0.0,2931968.0,-2931968.0,False,1J,140801.0,0.0,0.0,0.0,0.0,False
310,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,JPY,4185.61,0.0,4185.61,70717.0,0.0,70717.0,False,1J,140801.0,0.0,0.0,0.0,0.0,False
311,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,NZD,22.89,0.0,22.89,4.62,0.0,4.62,False,1J,140801.0,0.0,0.0,0.0,0.0,False
316,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,238.0,238 SCB HONG KONG LIMITED,460,HKD,0.0,124645.16,-124645.16,0.0,124645.16,-124645.16,False,1J,140801.0,0.0,0.0,0.0,0.0,False
319,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,EUR,0.0,12919.87,-12919.87,0.0,1549.66,-1549.66,False,1J,140801.0,0.0,0.0,0.0,0.0,False
324,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,,,1937,Project Dragon - Legal,198,198 PL Sweeping,,,160.0,160 SCB AUSTRALIA BRANCH,460,USD,1394867.31,0.0,1394867.31,178794.83,0.0,178794.83,False,1J,140801.0,0.0,0.0,0.0,0.0,False
332,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,238.0,238 SCB HONG KONG LIMITED,460,EUR,813.85,0.0,813.85,97.96,0.0,97.96,False,1J,140801.0,0.0,0.0,0.0,0.0,False
337,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,HKD,301850.62,167.15,301683.47,301850.62,167.15,301683.47,False,1J,140801.0,0.0,0.0,0.0,0.0,False
338,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,HKD,0.0,5695.21,-5695.21,0.0,5695.21,-5695.21,False,1J,140801.0,0.0,0.0,0.0,0.0,False
339,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,CAD,46.28,0.0,46.28,8.02,0.0,8.02,False,1J,140801.0,0.0,0.0,0.0,0.0,False
340,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,AUD,84.47,0.0,84.47,15.86,0.0,15.86,False,1J,140801.0,0.0,0.0,0.0,0.0,False
342,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,,,1939,Project Dragon - CEO / Head office,198,198 PL Sweeping,,,238.0,238 SCB HONG KONG LIMITED,460,HKD,25311508.9,0.0,25311508.9,25311508.9,0.0,25311508.9,False,1J,140801.0,0.0,0.0,0.0,0.0,False
365,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,GBP,0.0,63753.4,-63753.4,0.0,6767.59,-6767.59,False,1J,140801.0,0.0,0.0,0.0,0.0,False
368,1100228,1100228 Other assets : Non financial assets : SPOT POSITION,SPOT POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,198,198 PL Sweeping,,,,,460,USD,167.15,16826.76,-16659.61,21.3,2156.66,-2135.36,False,1J,140801.0,0.0,0.0,0.0,0.0,False
398,1100237,1100237 FX CASH POSITION,FX CASH POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,AUD,219.14,1.23,217.91,0.0,0.0,0.0,False,1J,140801.0,0.0,0.0,0.0,0.0,False
400,1100237,1100237 FX CASH POSITION,FX CASH POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,JPY,5507.76,8.76,5499.0,0.0,0.0,0.0,False,1J,140801.0,0.0,0.0,0.0,0.0,False
401,1100237,1100237 FX CASH POSITION,FX CASH POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,USD,1598.95,0.06,1598.89,0.0,0.0,0.0,False,1J,140801.0,0.0,0.0,0.0,0.0,False
403,1100237,1100237 FX CASH POSITION,FX CASH POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,GBP,1025.18,8.59,1016.59,0.0,0.0,0.0,False,1J,140801.0,0.0,0.0,0.0,0.0,False
413,1100237,1100237 FX CASH POSITION,FX CASH POSITION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,31101.0,30000 FX : 31000 Retail FX : 31100 FX Spot : 31101 FX Spot,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,EUR,113.71,18.04,95.67,0.0,0.0,0.0,False,1J,140801.0,0.0,0.0,0.0,0.0,False
440,1100353,1100353 Other assets : Non financial assets : CUSTOMER REFERRAL REWARD COSTS-ASSETS,CUSTOMER REFERRAL REWARDS COSTS-ASSETS,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,,,1391,Project Dragon - Customer,108,108 Capital Expenditure,,,,,460,HKD,56933473.63,3314854.57,53618619.06,56933473.63,3314854.57,53618619.06,False,1J,141602.0,0.0,0.0,0.0,4.0,False
441,1100354,1100354 Other assets : Non financial assets : CUSTOMER CONTRACT COSTS-ASSETS,CUSTOMER CONTRACT COSTS-ASSETS,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,,,1391,Project Dragon - Customer,108,108 Capital Expenditure,,,,,460,HKD,23221658.19,0.0,23221658.19,23221658.19,0.0,23221658.19,False,1J,140502.0,0.0,0.0,0.0,0.0,False
442,1100355,1100355 Other assets : Non financial assets : CUSTOMER REFERRAL REWARD COSTS-ACC AMORT,CUSTOMER REFERRAL REWARDS COSTS-ACCUMLATED AMORTISATION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,,,1391,Project Dragon - Customer,108,108 Capital Expenditure,,,,,460,HKD,231365.41,6982928.62,-6751563.21,231365.41,6982928.62,-6751563.21,False,1J,140502.0,0.0,0.0,0.0,0.0,False
443,1100356,1100356 Other assets : Non financial assets : CUSTOMER CONTRACT COSTS-ACC AMORT,CUSTOMER CONTRACT COSTS-ACCUMULATED AMORTISATION,Balance Sheet,1000000 Total assets,1100000 Other assets,1100200 Non financial assets,,,1391,Project Dragon - Customer,108,108 Capital Expenditure,,,,,460,HKD,0.0,2935577.52,-2935577.52,0.0,2935577.52,-2935577.52,False,1J,140502.0,0.0,0.0,0.0,0.0,False
479,2010344,2010344 Accruals and deferred income : Sundry accruals and deferred income : PROV-AUDIT FEE & EXP,PROVISION-AUDIT FEE & EXPENSES,Balance Sheet,2000000 Total liabilities,2010000 Accruals and deferred income,2010300 Sundry accruals and deferred income,,,1392,Project Dragon - Finance,105,105 Manual Adjustments,,,,,460,HKD,872913.96,383334.0,489579.96,872913.96,383334.0,489579.96,False,2X,160360.0,0.0,0.0,0.0,0.0,False
528,2010355,2010355 Accruals and deferred income : Sundry accruals and deferred income : ACRD EXP NOT PD,ACCRUED EXPENSES NOT PAID,Balance Sheet,2000000 Total liabilities,2010000 Accruals and deferred income,2010300 Sundry accruals and deferred income,,,1391,Project Dragon - Customer,105,105 Manual Adjustments,,,,,460,HKD,10465400.0,15612528.2,-5147128.2,10465400.0,15612528.2,-5147128.2,False,2X,150201.0,0.0,0.0,0.0,0.0,False
540,2020120,2020120 Customer accounts : Interest bearing deposit accounts : CUSTOMER DEPOSITS,CUSTOMER DEPOSITS,Balance Sheet,2000000 Total liabilities,2020000 Customer accounts,2020100 Interest bearing deposit accounts,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,SGD,10657.02,11276.34,-619.32,0.0,0.0,0.0,False,2V,200503.0,0.0,0.0,0.0,4.0,True
542,2020120,2020120 Customer accounts : Interest bearing deposit accounts : CUSTOMER DEPOSITS,CUSTOMER DEPOSITS,Balance Sheet,2000000 Total liabilities,2020000 Customer accounts,2020100 Interest bearing deposit accounts,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,AUD,202309.31,208770.47,-6461.16,0.0,0.0,0.0,False,2V,200503.0,0.0,0.0,0.0,4.0,True
543,2020120,2020120 Customer accounts : Interest bearing deposit accounts : CUSTOMER DEPOSITS,CUSTOMER DEPOSITS,Balance Sheet,2000000 Total liabilities,2020000 Customer accounts,2020100 Interest bearing deposit accounts,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,USD,21151.09,49257.3,-28106.21,0.0,0.0,0.0,False,2V,200503.0,0.0,0.0,0.0,4.0,True
554,2020120,2020120 Customer accounts : Interest bearing deposit accounts : CUSTOMER DEPOSITS,CUSTOMER DEPOSITS,Balance Sheet,2000000 Total liabilities,2020000 Customer accounts,2020100 Interest bearing deposit accounts,12101.0,10000 Retail Products : 12000 Deposits : 12100 Main Account and Sub account : 12101 Retail Main A/C and Sub A/C,1393,Project Dragon - Product,199,199 FX Revaluation,,,,,460,JPY,7444415.01,6122388.43,1322026.58,0.0,0.0,0.0,False,2V,200503.0,0.0,0.0,0.0,4.0,True
